Treatment,Number_CDR3,H
Pre,1,0
Pre,1,0
Pre,10,0.279712483
Pre,19,0.966677822
Pre,10,0.884833683
Pre,9,0.483347342
Pre,1,0
Pre,28,0.893472897
Pre,5,0.501109489
Pre,9,0.890206612
Pre,24,0.856870041
Pre,38,0.85144157
Pre,47,0.872730805
Pre,1,0
Pre,32,0.803609406
Pre,6,0.736989986
Pre,52,0.837328958
Pre,9,0.585708906
Pre,47,0.909135009
Pre,37,0.918431812
Pre,15,0.807911589
Pre,10,0.805778137
Pre,11,0.807690594
Pre,3,0.920619836
Pre,6,0.703964499
Pre,19,0.755324187
Pre,5,0.809656833
Pre,16,0.802108623
Pre,1,0
Pre,2,0.918295834
Pre,12,0.963698337
Pre,2,1
Pre,3,0.886859507
Pre,6,0.935944697
Pre,10,0.937959523
Pre,2,0.918295834
Pre,2,0.721928095
Pre,3,0.94639463
Pre,1,0
Pre,23,0.906781263
Pre,1,0
Pre,1,0
Pre,32,0.584502019
Pre,3,0.94639463
Pre,11,0.94348835
Pre,14,0.828256398
Pre,1,0
Pre,3,1
Pre,7,0.714172469
Pre,2,1
Pre,8,0.785495884
Pre,1,0
Pre,10,0.68657349
Pre,2,0.811278124
Pre,4,1
Pre,7,1
Pre,6,1
Pre,13,0.581706699
Pre,14,0.883515264
Pre,4,0.842907855
Pre,6,1
Pre,2,1
Pre,9,0.753884714
Pre,3,0.94639463
Pre,12,0.70023568
Pre,7,0.934515483
Pre,3,1
Pre,21,0.667167215
Pre,11,0.792805061
Pre,7,0.94876951
Pre,1,0
Pre,1,0
Pre,10,0.514198988
Pre,2,0.918295834
Pre,25,0.855430019
Pre,1,0
Pre,10,0.933759291
Pre,34,0.804979304
Pre,26,0.73857077
Pre,5,0.962961065
Pre,11,0.763059467
Pre,1,0
Pre,2,0.918295834
Pre,4,0.678389825
Pre,3,0.960229718
Pre,2,0.918295834
Pre,1,0
Pre,24,0.903577338
Pre,3,1
Pre,17,0.798453413
Pre,26,0.903516525
Pre,8,0.948813115
Pre,7,0.980150086
Pre,7,0.929906377
Pre,15,0.796048236
Pre,21,0.653318569
Pre,12,0.889894567
Pre,10,0.39203628
Pre,1,0
Pre,1,0
Pre,1,0
Pre,1,0
Pre,2,0.749595257
Pre,5,0.861353116
Pre,2,0.811278124
Pre,2,1
Pre,5,0.88668288
Pre,3,0.960229718
Pre,19,0.410620708
Pre,8,0.940859921
Pre,3,1
Pre,1,0
Pre,20,0.827434145
Pre,5,0.762706907
Pre,25,0.802803838
Pre,27,0.737001757
Pre,7,0.979569765
Pre,18,0.804124652
Pre,4,0.828871363
Pre,5,0.732339525
Pre,16,0.653518154
Pre,5,0.962961065
Pre,18,0.500633891
Pre,4,0.723308334
Pre,1,0
Pre,3,0.506681847
Pre,1,0
Pre,1,0
Pre,1,0
Pre,1,0
Pre,6,0.883633371
Pre,6,0.975503759
Pre,9,0.954908028
Pre,7,0.90844969
Pre,14,0.903532817
Pre,1,0
Pre,10,1
Pre,4,0.572555207
Pre,15,0.474242925
Pre,15,0.807117905
Pre,6,0.401170399
Pre,8,0.763873398
Pre,5,0.962961065
Pre,5,0.881353453
Pre,1,0
Pre,6,0.530088816
Pre,12,0.666122171
Pre,11,0.71973984
Pre,7,0.888951698
Pre,5,0.916516443
Pre,6,1
Pre,9,0.832170635
Pre,12,0.66070843
Pre,1,0
Pre,1,0
Pre,2,1
Pre,30,0.920052947
Pre,26,0.627103148
Pre,10,0.730944265
Pre,6,0.736562686
Pre,5,0.844541246
Pre,2,0.918295834
Pre,8,0.626661712
Pre,6,0.764010116
Pre,7,0.94095839
Pre,2,0.650022422
Pre,5,0.916516443
Pre,6,0.792836288
Pre,8,0.968588195
Pre,3,1
Pre,1,0
Pre,5,0.928383212
Pre,5,0.856087394
Pre,6,0.795495515
Pre,7,0.946287461
Pre,5,0.670329003
Pre,2,0.918295834
Pre,12,0.943268022
Pre,1,0
Pre,5,0.789568302
Pre,3,0.221186976
Pre,1,0
Pre,5,0.348349234
Pre,11,0.96466001
Pre,13,0.861750832
Pre,7,0.576149819
Pre,13,0.653229507
Pre,2,0.918295834
Pre,11,0.961100933
Pre,1,0
Pre,6,1
Pre,12,0.508511865
Pre,13,0.958383223
Pre,6,0.992450904
Pre,3,1
Pre,5,0.606488495
Pre,19,0.902339057
Pre,6,0.835975008
Pre,10,0.978837914
Pre,11,0.648437612
Pre,1,0
Pre,22,0.909342845
Pre,1,0
Pre,8,0.947456998
Pre,2,0.918295834
Pre,17,0.767695559
Pre,10,0.95752614
Pre,2,1
Pre,6,0.946411928
Pre,36,0.812579657
Pre,4,0.83224889
Pre,21,0.934296698
Pre,3,0.94639463
Pre,2,1
Pre,22,0.916206079
Pre,1,0
Pre,4,1
Pre,8,1
Pre,5,0.773533239
Pre,1,0
Pre,23,0.892126998
Pre,27,0.65709181
Pre,2,0.543564443
Pre,3,0.864973521
Pre,14,0.967480689
Pre,5,0.9697239
Pre,16,0.74881275
Pre,2,1
Pre,13,0.452655958
Pre,8,0.813468006
Pre,4,0.959147917
Pre,18,0.880265842
Pre,1,0
Pre,21,0.890739099
Pre,5,0.521130916
Pre,15,0.952576386
